CargoManifestId,tripId,departureDate,arrivalDate,ShipMmsi,TruckLicensePlate,containerNumber,DeparturePort,arrivalPort,xValue,yValue,zValue,ContainerDepartDate,ContainerArrivDate,load,payload,tare,length,width,height,IsoCode,idType,temp,ShipCaptain,ShipCEE,TruckDriver
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267000,N/A,038483,Cristobal,Zeebrugge,16,24,-2,09/12/2021 15:34,17/12/2021 23:34,Car Parts,11442,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267001,N/A,035809,Cristobal,Zeebrugge,5,10,5,09/12/2021 15:34,17/12/2021 23:34,Car Parts,6221,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267002,N/A,008152,Cristobal,Brest,7,9,4,09/12/2021 15:34,13/12/2021 19:34,Meat,24885,3080,6.096,2.5908,2.5908,22R1,1,-9,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267003,N/A,003149,Cristobal,Brest,12,25,5,09/12/2021 15:34,13/12/2021 19:34,Smartphones,8196,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267004,N/A,012957,Cristobal,Brest,1,15,3,09/12/2021 15:34,13/12/2021 19:34,Cars,19808,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267005,N/A,038885,Brest,Zeebrugge,5,24,-1,13/12/2021 19:34,17/12/2021 23:34,Meat,5731,3080,6.096,2.5908,2.5908,22R1,1,2,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267006,N/A,027872,Los Angeles,Zeebrugge,14,25,5,01/12/2021 07:34,17/12/2021 23:34,Vaccines,8119,3080,6.096,2.5908,2.5908,22R1,2,-5,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267007,N/A,025661,Balboa,Brest,6,18,2,05/12/2021 11:34,13/12/2021 19:34,Processors,21054,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267008,N/A,027726,Balboa,Brest,1,12,-2,05/12/2021 11:34,13/12/2021 19:34,Concrete,23334,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267009,N/A,035021,Los Angeles,Brest,6,24,4,01/12/2021 07:34,13/12/2021 19:34,Meat,23653,3080,6.096,2.5908,2.5908,22R1,1,-11,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267010,N/A,003134,Los Angeles,Brest,9,9,-2,01/12/2021 07:34,13/12/2021 19:34,Vegetables,4824,3080,6.096,2.5908,2.5908,22R1,1,-6,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267011,N/A,033175,Los Angeles,Cristobal,3,2,-2,01/12/2021 07:34,09/12/2021 15:34,Smartphones,13211,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267012,N/A,033184,Cristobal,Brest,3,7,6,09/12/2021 15:34,13/12/2021 19:34,Meat,23742,3080,6.096,2.5908,2.5908,22R1,1,-10,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267013,N/A,023623,Cristobal,Brest,13,12,3,09/12/2021 15:34,13/12/2021 19:34,Ice-cream,4860,3080,6.096,2.5908,2.5908,22R1,1,-4,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267014,N/A,000366,Los Angeles,Brest,10,3,-1,01/12/2021 07:34,13/12/2021 19:34,Vaccines,13396,3080,6.096,2.5908,2.5908,22R1,2,-5,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267015,N/A,005178,Balboa,Cristobal,10,13,5,05/12/2021 11:34,09/12/2021 15:34,Processors,16823,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267016,N/A,025024,Los Angeles,Brest,8,20,6,01/12/2021 07:34,13/12/2021 19:34,Vegetables,13185,3080,6.096,2.5908,2.5908,22R1,1,-11,0000004,0000005,N/A
00000002,00003,01/12/2021 07:34,17/12/2021 23:34,303267017,N/A,003877,Brest,Zeebrugge,2,1,6,13/12/2021 19:34,17/12/2021 23:34,Smartphones,24078,2300,6.096,2.5908,2.5908,22G1,0,N/A,0000004,0000005,N/A
